Display Order,Product Details,ASIN,Segment,URL,Image URL,Brand,Price  £,Parent Level Sales,ASIN Sales,Recent Purchases,Parent Level Revenue,ASIN Revenue,Title Char. Count,BSR,Seller Country/Region,Fees  £,Active Sellers,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Fulfillment,Dimensions,Weight,ABA Most Clicked,Creation Date,Sponsored,Best Seller,Seller Age (mo),Seller
47.,"CARPET AND CLOTHES MOTH TRAPS. 7 Pack of Pesticide Free, Sticky Pheromone Traps That Attract, Catch and Kill Carpet and Clothes Moths and Monitor Activity.",B07R5XQH8L,Physical Trap,https://www.amazon.co.uk/dp/B07R5XQH8L?psc=1,https://m.media-amazon.com/images/I/71LI-Jiq4bL._AC_SY355_.jpg,Ambush Pro,19.66,"1,097","1,097",800,"17,930.55","17,919.79",155,"1,536",GB,3.87,1,4.1,753,8,2,Severn View Solutions,Garden,Standard Envelope,FBA,14.40 x 1.90 x 12.10 cm,0.13,N/A,"Jun 14, 2019",,No,83,Severn View Solutions
35.,"NOPE! CP Moth Killer Spray (500ml) - Fast acting, Odourless, Long-lasting Moth Repellent for Clothes, Home, Wardrobe, Room & Carpets.",B096N195HB,Killer Spray,https://www.amazon.co.uk/dp/B096N195HB?psc=1,https://m.media-amazon.com/images/I/71tjmH6-lvS._SY445_.jpg,NOPE!,16.19,"1,534","1,281","1,000","26,334.9","17,908.5",133,529,GB,5.19,1,4.3,"1,427",6,9,Safeguard Europe Ltd,Garden,Small Parcel,FBA,22.70 x 7.20 x 8.40 cm,0.57,N/A,"Jun 4, 2021",,No,59,Safeguard Europe Ltd
38.,"Carpet Moth Killer Spray 500ml - Fast Acting Carpet Moth Killer - Spray Bottle, Suitable for All Kinds of Carpets, Rugs, Oriental, or Fitted. Long-lasting and Non-Staining",B005EGVCX4,Killer Spray,https://www.amazon.co.uk/dp/B005EGVCX4?psc=1,https://m.media-amazon.com/images/I/61ci-zTJ8bL._AC_SY355_.jpg,RugRemedyUK,15.03,"2,192","1,283","1,000","31,204.84","16,653.83",171,521,GB,5.04,2,4.4,"2,720",7,18,Pinks Farm,Garden,Extra Large Envelope,FBA,24.00 x 6.00 x 12.00 cm,0.58,N/A,"Jun 5, 2013",,No,155,Pinks Farm
39.,"Acana Carpet & Fabric Freshener 500 Millilitre - Moth Killer Spray - Fresh Linen Fragrance - for Carpets, Rugs & Curtains - Non-Staining",B09922N6LJ,Killer Spray,https://www.amazon.co.uk/dp/B09922N6LJ?psc=1,https://m.media-amazon.com/images/I/7128eRsu6TL._AC_SY355_.jpg,Acana,15.61,"1,155","1,155",500,"16,097.71","16,087.65",136,998,GB,3.87,12,4.4,249,6,4,Acana,Garden,Extra Large Envelope,FBA,24.70 x 5.30 x 9.60 cm,0.57,N/A,"Jul 9, 2021",,No,58,Acana
66.,"Pest Expert Carpet Moth Killer Spray 5Ltr Formula 'C+' Moth Killer - Fast-Acting & Long-Lasting Control, Professional Strength Approved for Amateur Use - with Trigger Hose Sprayer",B010E2GRNW,Killer Spray,https://www.amazon.co.uk/dp/B010E2GRNW?psc=1,https://m.media-amazon.com/images/I/71gTGfyNqaL._AC_SX355_.jpg,Pest Expert,42.75,426,426,300,"15,747.6","15,747.49",179,"4,329",GB,10.83,1,4.4,310,5,2,pestcontrolsupermarket,Garden,Standard Parcel,MFN,37.70 x 15.00 x 21.00 cm,5.35,N/A,"Jun 25, 2015",,No,131,pestcontrolsupermarket
37.,"Quebec Zero In Clothes Moth Killer - Ready-To-Use - Kills Moths, Eggs & Larvae - Indoor Uses - Long-lasting treatment of Wardrobes, Cupboards and Drawers Before Clothes storage - 300ml (Pack of 2)",B0D66SB7DB,Killer Spray,https://www.amazon.co.uk/dp/B0D66SB7DB?psc=1,https://m.media-amazon.com/images/I/71VZVCtPHgL._SX342_.jpg,Quebec,13.87,"1,410","1,183","1,000","15,358.98","13,986.5",196,"1,066",GB,3.71,2,4.4,395,7,13,QCL Online,Garden,Small Parcel,FBA,24.10 x 6.10 x 18.80 cm,0.63,N/A,"Jun 5, 2024",,No,23,QCL Online
54.,"Pest Expert Clothes Moth Killer Smoke Bombs 8 x 3.5g - Formula 'P' Maximum Strength Moth Bomb, Fast-Acting for Effective Control, Professional Strength for Approved Amateur Use",B0127Q885S,Killer Spray,https://www.amazon.co.uk/dp/B0127Q885S?psc=1,https://m.media-amazon.com/images/I/81BFDxV1dPL._AC_SX355_.jpg,Pest Expert,27.71,565,565,300,"13,533.66","13,533.56",176,"3,075",GB,6.41,1,4.1,637,4,2,pestcontrolsupermarket,Garden,Large Envelope,FBA,12.40 x 3.30 x 11.60 cm,0.1,N/A,"Jul 21, 2015",,No,130,pestcontrolsupermarket
40.,"Moth Killer Spray | 1 Litre | Effective Moth Repellent for Carpets, Clothes, Wardrobes & More | Low Odour & Non-Staining Formula | Kills Moths on Contact | Protects Against Infestations | Easy to Use",B0BGY5NK6B,Killer Spray,https://www.amazon.co.uk/dp/B0BGY5NK6B?psc=1,https://m.media-amazon.com/images/I/61T+gPikf-L._SX342_.jpg,Ready Steady Gro,19.66,735,735,600,"12,492.99","12,485.5",199,"1,643",GB,4.51,2,4.4,410,7,10,Ready Steady Defend UK,Garden,Small Parcel,FBA,29.40 x 8.30 x 18.40 cm,1.1,N/A,"Sep 30, 2022",,No,44,Ready Steady Defend UK
50.,Lakeland Moth Stop Carpet Moth Killer & Freshener Spray 500ml – Effective For 3 Months Covers 25m²,B00FGOY51A,Killer Spray,https://www.amazon.co.uk/dp/B00FGOY51A?psc=1,https://m.media-amazon.com/images/I/21HzehvR3UL._AC_SY355_.jpg,lakeland,17.34,762,762,500,"11,426.86","11,419.12",98,"2,017",GB,5.29,2,4.4,851,4,1,Lakeland,Garden,Extra Large Envelope,FBA,27.10 x 5.80 x 11.20 cm,0.57,N/A,"Sep 27, 2013",,No,152,Lakeland
41.,"Carpet Moth Killer Spray 1L - Non-Staining & Long-Lasting Protection | Formula for Home | Targets Full Moth Lifecycle on Rugs, Carpets, Textiles & Upholstery",B0C3DJ1M11,Killer Spray,https://www.amazon.co.uk/dp/B0C3DJ1M11?psc=1,https://m.media-amazon.com/images/I/71YlehA7UtL._SX342_.jpg,READY STEADY DEFEND,18.5,733,733,500,"10,980.31","10,972.86",157,"2,163",GB,4.34,2,4.4,456,7,10,Ready Steady Defend UK,Garden,Small Parcel,FBA,29.90 x 5.90 x 17.10 cm,1.09,N/A,"Apr 24, 2023",,No,37,Ready Steady Defend UK
68.,"Acana Hanging Moth Killer & Freshener, 4 Pack - Lavender Fragrance, Natural Oils - For Wardrobes - Protects Clothing & Bedding - Each Lasts 6 Months",B00BMO6HKA,Repellent,https://www.amazon.co.uk/dp/B00BMO6HKA?psc=1,https://m.media-amazon.com/images/I/71W9J+ecZPL._AC_SY355_.jpg,Acana,9.24,"2,233",479,700,"21,425.19","9,708.05",148,242,GB,3.2,2,4.3,"6,622",4,8,Acana,Garden,Large Envelope,FBA,19.00 x 3.00 x 9.50 cm,0.06,N/A,"Sep 6, 2012",,No,164,Acana
36.,"Rentokil RKLPSM97 Moth Balls (Pack of 20), Clear, 10.3x14.5x4.3 cm",B01HZ7LLYE,Repellent,https://www.amazon.co.uk/dp/B01HZ7LLYE?psc=1,https://m.media-amazon.com/images/I/71u7MNEf6fL._AC_SY355_.jpg,Rentokil,7.86,"1,456","1,456","1,000","9,367.56","9,360.25",66,341,GB,4.05,24,4.2,"2,837",10,12,Deabbacus,Garden,Extra Large Envelope,MFN,14.90 x 4.70 x 10.50 cm,0.16,N/A,"Dec 17, 2016",,No,113,Deabbacus
