Display Order,Product Details,ASIN,Segment,URL,Image URL,Brand,Price  €,Parent Level Sales,ASIN Sales,Recent Purchases,Parent Level Revenue,ASIN Revenue,Title Char. Count,BSR,Seller Country/Region,Fees  €,Active Sellers,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Fulfillment,Dimensions,Weight,ABA Most Clicked,Creation Date,Sponsored,Best Seller,Seller Age (mo),Seller
32,"Vichy Dercos Anti-Schuppen K, Tiefenreinigendes Shampoo für fettige und empfindliche Kopfhaut, Bei hartnäckigen Schuppen und Ablagerungen, Keratolytische und antimikrobielle Wirkung, 250 ml",B08KDTMRTK,Irritated / Atopic,https://www.amazon.de/dp/B08KDTMRTK?psc=1,https://m.media-amazon.com/images/I/81r9EHlkVKL._SX342_.jpg,VICHY,16.65,924,924,500,"15,468.27","15,468.28",189,"2,951",AMZ,5.97,1,4.5,477,14,10,Amazon,Kosmetik,Extra Large Envelope,AMZ,16.60 x 4.60 x 4.60 cm,0.3,N/A,"Sep 22, 2020",,No,69,Amazon
3,Ducray Kelual Shampoo 100 ml,B07TT7VMFD,Irritated / Atopic,https://www.amazon.de/dp/B07TT7VMFD?psc=1,https://m.media-amazon.com/images/I/51luXtD834L._SX342_.jpg,Ducray,16,912,912,200,"14,885.25","14,885.26",28,"8,195",NL,5.44,19,4.6,"3,225",7,48,Versandapotheke Sparmed,Beauty,Large Envelope,MFN,14.20 x 3.90 x 6.30 cm,0.13,N/A,"Aug 10, 2019",,No,82,Versandapotheke Sparmed
28.1.,"Wella SP System Professional Balance Scalp Shampoo, 1 L",B005J5XPSA,Irritated / Atopic,https://www.amazon.de/dp/B005J5XPSA?psc=1,https://m.media-amazon.com/images/I/51tABLc9hSL._SY355_.jpg,Wella Professionals,15.61,"1,126",618,300,"16,750.27","12,160.63",55,"1,799",DE,4.45,8,4.6,"2,999",1,13,Haarboutique,Kosmetik,Small Parcel,FBA,20.80 x 7.60 x 9.30 cm,1.11,N/A,"Mar 20, 2010",,No,195,Haarboutique
61,Maria Nila Anti-Dandruff Shampoo Head & Hair Heal I Anti-Inflammatory Shampoo for Men and Women Against Scalp Irritation I Stimulates Hair Growth,B071VZV484,Irritated / Atopic,https://www.amazon.de/dp/B071VZV484?psc=1,https://m.media-amazon.com/images/I/614XxDJdE+L._SY445_.jpg,Maria Nila,25.79,608,391,200,"19,158.54","11,659.88",145,"3,948",DE,7.82,2,4.4,"1,959",6,3,Maria Nila by New Flag,Beauty,Extra Large Envelope,FBA,17.20 x 5.40 x 5.50 cm,0.38,N/A,"May 22, 2017",,No,109,Maria Nila by New Flag
35,"Sebamed Every-Day Shampoo 400 ml, Haarshampoo für Damen und Herren, schonende, seifenfreie Reinigung für empfindliche Kopfhaut, besonders mild durch Zuckertensidformel, für alle Haartypen geeignet",B0FBGQZL1W,Irritated / Atopic,https://www.amazon.de/dp/B0FBGQZL1W?psc=1,https://m.media-amazon.com/images/I/61OIhLE84+L._SY445_.jpg,Sebamed,5.67,"1,820","1,820","1,000","11,303.14","11,303.13",196,533,AMZ,3.62,4,4.5,292,5,30,Amazon,Kosmetik,Extra Large Envelope,AMZ,18.40 x 5.50 x 7.80 cm,0.44,N/A,"Jun 10, 2025",,No,12,Amazon
11,"khadi Amla Volume Ayurvedic Shampoo, 100% Natural, Silicone & Sulphate-Free, Powerful Hair & Volume Thanks to Strong Hair Roots, Promotes Hair Growth, Vegan Hair Care, Natural Cosmetics 200 ml",B08NT4WR9K,,https://www.amazon.de/dp/B08NT4WR9K?psc=1,https://m.media-amazon.com/images/I/61szC5WGcpL._SY355_.jpg,Khadi,13.36,711,711,300,"11,301.09","11,301.09",192,"3,359",AMZ,5.86,4,4.4,951,9,19,,Beauty,Extra Large Envelope,AMZ,16.51 x 4.80 x 5.00 cm,0.26,N/A,"Nov 18, 2020",,No,67,
53,"OUAI Detox Shampoo, Clarifying Cleanse for Dirt, Oil, Product and Hard Water Buildup. Get Back to Super Clean, Soft and Refreshed Locks, 10 oz",B084C2PC69,,https://www.amazon.de/dp/B084C2PC69?psc=1,https://m.media-amazon.com/images/I/71dq5ltYhIL._SY355_.jpg,OUAI,26.89,345,345,100,"11,134.06","11,134.06",142,"9,225",GB,3.47,2,4.6,"6,656",8,86,Discovered Brands,Beauty,Extra Large Envelope,FBA,14.00 x 5.79 x 5.99 cm,0.36,N/A,"Jan 14, 2021",,No,65,Discovered Brands
55,VICHY Dercos Sensitive Shampoo 200 ml,B009USALZM,Irritated / Atopic,https://www.amazon.de/dp/B009USALZM?psc=1,https://m.media-amazon.com/images/I/71kxadRVdwL._SX342_.jpg,VICHY,15.25,691,691,400,"10,540.99","10,540.98",37,"4,670",AMZ,5.71,1,4.5,"2,645",13,35,Amazon,Kosmetik,Extra Large Envelope,AMZ,17.30 x 4.90 x 5.20 cm,0.24,N/A,"Nov 13, 2014",,No,139,Amazon
21,"Kérastase Shampoo für empfindliche Kopfhaut, Klärendes Haarbad zur Milderung von Juckreiz, Bain Vital Dermo-Calm, Spécifique, 250 ml",B01HYOB0LC,Irritated / Atopic,https://www.amazon.de/dp/B01HYOB0LC?psc=1,https://m.media-amazon.com/images/I/51NAURnTgeL._SY355_.jpg,KÉRASTASE,28.5,377,377,200,"10,379.54","10,379.54",132,"6,241",N/A,7.75,1,4.3,"3,290",8,17,,Kosmetik,Extra Large Envelope,MFN,14.20 x 4.30 x 6.40 cm,0.29,N/A,"Feb 15, 2013",,No,160,
37,"Aveda Rosemary Mint Purifying Shampoo, Tiefenreinigungsshampoo für normales bis fettiges Haar, verleiht Glanz und Frische, zu 97% natürlichen Ursprungs*",B07L6SWWRV,,https://www.amazon.de/dp/B07L6SWWRV?psc=1,https://m.media-amazon.com/images/I/61TdMTLbINL._SX342_.jpg,Aveda,15.76,662,476,300,"18,995.66","8,858.04",152,"2,913",AMZ,6.28,3,4.6,"5,887",9,166,Amazon,Beauty,Extra Large Envelope,AMZ,18.90 x 4.90 x 5.00 cm,0.3,N/A,"Sep 21, 2011",,No,177,Amazon
39.1.,Kerastase Bain Riche,B001TANDZ4,Irritated / Atopic,https://www.amazon.de/dp/B001TANDZ4?psc=1,https://m.media-amazon.com/images/I/51xsdJXWt4L._SX342_.jpg,KÉRASTASE,92.44,180,80,N/A,"12,949.83","8,582.76",20,"14,751",N/A,19.96,1,4.6,"1,696",1,4,Hairlando,Beauty,Small Parcel,MFN,29.39 x 8.99 x 10.11 cm,1.07,N/A,"Jun 22, 2011",,No,180,Hairlando
66,"Terzolin Expert Schuppen-Shampoo bei trockener Kopfhaut, Juckreiz und Schuppen, Kosmetikum mit innovativer Pflegeformel, auch bei zu Ekzemen neigender Kopfhaut geeignet – 1 x 200ml",B0D884Y71G,Irritated / Atopic,https://www.amazon.de/dp/B0D884Y71G?psc=1,https://m.media-amazon.com/images/I/51kBpVyr-LL._SY355_.jpg,TERZOLIN,8.98,911,751,400,"13,304.36","8,024.96",180,"3,204",AMZ,5.28,21,4.2,347,11,15,Amazon,Kosmetik,Large Envelope,AMZ,15.90 x 3.40 x 5.70 cm,0.23,N/A,"Jun 27, 2024",,No,24,Amazon
43,Wella Professionals Elements Renewing Shampoo – sulfat- & silikonfreie Pflege für empfindliche & juckende Kopfhaut – mit Aloe Vera & Vitamin E – beruhigend & feuchtigkeitsspendend,B0CBVHXQ4B,Irritated / Atopic,https://www.amazon.de/dp/B0CBVHXQ4B?psc=1,https://m.media-amazon.com/images/I/61cLH3uQsoL._SX342_.jpg,Wella Professionals,27.04,720,309,200,"13,112.46","7,930.29",179,"4,099",AMZ,7.42,12,4.6,430,6,21,,Kosmetik,Small Parcel,AMZ,25.10 x 8.40 x 8.50 cm,1.1,N/A,"Jul 20, 2023",,No,35,
